member_type,rideable_type,month,day_of_week,hour,rIde_length_bucket,total_rides,avg_ride_length
member,classic_bike,Oct,Sunday,21,120+ mins,1,663
member,classic_bike,Oct,Sunday,3,120+ mins,1,245
member,classic_bike,Oct,Sunday,23,120+ mins,1,737
member,classic_bike,Oct,Sunday,15,120+ mins,1,136
member,classic_bike,Oct,Sunday,4,120+ mins,1,136
member,classic_bike,Oct,Sunday,8,120+ mins,1,159
member,classic_bike,Oct,Sunday,6,120+ mins,1,188
member,classic_bike,Oct,Sunday,20,120+ mins,1,996
member,classic_bike,Nov,Sunday,8,120+ mins,1,203
member,classic_bike,Nov,Sunday,9,120+ mins,1,566
member,classic_bike,Nov,Sunday,19,120+ mins,1,778
member,classic_bike,Nov,Sunday,15,120+ mins,1,184
member,classic_bike,Nov,Sunday,1,120+ mins,1,664
member,classic_bike,Nov,Sunday,16,120+ mins,1,134
member,classic_bike,Dec,Sunday,22,120+ mins,1,752
member,classic_bike,Dec,Sunday,20,120+ mins,1,860
member,classic_bike,Dec,Sunday,13,120+ mins,1,275
member,classic_bike,Dec,Sunday,16,120+ mins,1,227
member,classic_bike,Dec,Sunday,7,120+ mins,1,185
member,classic_bike,Dec,Sunday,18,120+ mins,1,1083
member,classic_bike,Dec,Sunday,2,120+ mins,1,445
member,classic_bike,Dec,Sunday,4,120+ mins,1,812
member,classic_bike,Jan,Sunday,19,120+ mins,1,1167
member,classic_bike,Jan,Sunday,13,120+ mins,1,136
member,classic_bike,Jan,Sunday,16,120+ mins,1,762
member,classic_bike,Jan,Sunday,11,120+ mins,1,1081
member,classic_bike,Jan,Sunday,12,120+ mins,1,140
member,classic_bike,Feb,Sunday,1,120+ mins,1,798
member,classic_bike,Mar,Sunday,18,120+ mins,1,273
member,classic_bike,Mar,Sunday,15,120+ mins,1,155
member,classic_bike,Mar,Sunday,9,120+ mins,1,203
member,classic_bike,Mar,Sunday,0,120+ mins,1,816
member,classic_bike,Mar,Sunday,17,120+ mins,1,283
member,classic_bike,Apr,Sunday,12,120+ mins,1,1183
member,classic_bike,Apr,Sunday,1,120+ mins,1,299
member,classic_bike,Apr,Sunday,18,120+ mins,1,201
member,classic_bike,Apr,Sunday,11,120+ mins,1,122
member,classic_bike,Apr,Sunday,9,120+ mins,1,138
member,classic_bike,Apr,Sunday,10,120+ mins,1,162
member,classic_bike,Apr,Sunday,19,120+ mins,1,1063
member,classic_bike,May,Sunday,1,120+ mins,1,867
member,classic_bike,May,Sunday,22,120+ mins,1,553
member,classic_bike,May,Sunday,18,120+ mins,1,917
member,classic_bike,May,Sunday,20,120+ mins,1,1199
member,classic_bike,May,Sunday,13,120+ mins,1,217
member,classic_bike,May,Sunday,21,120+ mins,1,721
member,classic_bike,May,Sunday,10,120+ mins,1,175
member,classic_bike,May,Sunday,9,120+ mins,1,146
member,classic_bike,Jun,Sunday,6,120+ mins,1,194
member,classic_bike,Jun,Sunday,19,120+ mins,1,142
member,classic_bike,Jun,Sunday,17,120+ mins,1,272
member,classic_bike,Jun,Sunday,1,120+ mins,1,1040
member,classic_bike,Jun,Sunday,5,120+ mins,1,137
member,classic_bike,Jun,Sunday,22,120+ mins,1,602
member,classic_bike,Jul,Sunday,18,120+ mins,1,151
member,classic_bike,Jul,Sunday,5,120+ mins,1,502
member,classic_bike,Jul,Sunday,2,120+ mins,1,513
member,classic_bike,Jul,Sunday,6,120+ mins,1,401
member,classic_bike,Jul,Sunday,9,120+ mins,1,348
member,classic_bike,Aug,Sunday,5,120+ mins,1,293
member,classic_bike,Aug,Sunday,4,120+ mins,1,385
member,classic_bike,Aug,Sunday,17,120+ mins,1,314
member,classic_bike,Aug,Sunday,22,120+ mins,1,568
member,classic_bike,Aug,Sunday,20,120+ mins,1,143
member,classic_bike,Aug,Sunday,2,120+ mins,1,314
member,classic_bike,Aug,Sunday,15,120+ mins,1,294
member,classic_bike,Aug,Sunday,16,120+ mins,1,221
member,classic_bike,Aug,Sunday,23,120+ mins,1,539
member,classic_bike,Sep,Sunday,0,120+ mins,1,598
member,classic_bike,Sep,Sunday,5,120+ mins,1,369
member,classic_bike,Sep,Sunday,23,120+ mins,1,829
member,classic_bike,Sep,Sunday,2,120+ mins,1,562
member,classic_bike,Sep,Sunday,10,120+ mins,1,550
member,classic_bike,Sep,Sunday,3,120+ mins,1,132
member,classic_bike,Oct,Friday,9,120+ mins,1,189
member,classic_bike,Oct,Friday,4,120+ mins,1,372
member,classic_bike,Oct,Friday,1,120+ mins,1,592
member,classic_bike,Oct,Friday,14,120+ mins,1,127
member,classic_bike,Oct,Friday,22,120+ mins,1,881
member,classic_bike,Oct,Friday,23,120+ mins,1,823
member,classic_bike,Oct,Friday,20,120+ mins,1,1011
member,classic_bike,Nov,Friday,6,120+ mins,1,484
member,classic_bike,Nov,Friday,7,120+ mins,1,199
member,classic_bike,Nov,Friday,17,120+ mins,1,1087
member,classic_bike,Nov,Friday,22,120+ mins,1,777
member,classic_bike,Nov,Friday,15,120+ mins,1,241
member,classic_bike,Nov,Friday,12,120+ mins,1,177
member,classic_bike,Nov,Friday,4,120+ mins,1,530
member,classic_bike,Dec,Friday,7,120+ mins,1,181
member,classic_bike,Dec,Friday,6,120+ mins,1,252
member,classic_bike,Dec,Friday,23,120+ mins,1,449
member,classic_bike,Dec,Friday,16,120+ mins,1,126
member,classic_bike,Dec,Friday,9,120+ mins,1,1399
member,classic_bike,Dec,Friday,17,120+ mins,1,159
member,classic_bike,Dec,Friday,13,120+ mins,1,201
member,classic_bike,Jan,Friday,17,120+ mins,1,1297
member,classic_bike,Jan,Friday,11,120+ mins,1,344
member,classic_bike,Jan,Friday,22,120+ mins,1,1011
member,classic_bike,Jan,Friday,8,120+ mins,1,142
member,classic_bike,Feb,Friday,15,120+ mins,1,127
member,classic_bike,Feb,Friday,6,120+ mins,1,295
member,classic_bike,Feb,Friday,11,120+ mins,1,186
member,classic_bike,Feb,Friday,19,120+ mins,1,951
member,classic_bike,Feb,Friday,8,120+ mins,1,508
member,classic_bike,Feb,Friday,18,120+ mins,1,919
member,classic_bike,Mar,Friday,7,120+ mins,1,328
member,classic_bike,Mar,Friday,9,120+ mins,1,123
member,classic_bike,Apr,Friday,22,120+ mins,1,344
member,classic_bike,Apr,Friday,18,120+ mins,1,863
member,classic_bike,Apr,Friday,19,120+ mins,1,316
member,classic_bike,Apr,Friday,14,120+ mins,1,362
member,classic_bike,Apr,Friday,16,120+ mins,1,218
member,classic_bike,Apr,Friday,17,120+ mins,1,1266
member,classic_bike,Apr,Friday,6,120+ mins,1,480
member,classic_bike,May,Friday,12,120+ mins,1,312
member,classic_bike,May,Friday,16,120+ mins,1,1399
member,classic_bike,May,Friday,14,120+ mins,1,164
member,classic_bike,May,Friday,6,120+ mins,1,192
member,classic_bike,May,Friday,11,120+ mins,1,233
member,classic_bike,May,Friday,5,120+ mins,1,225
member,classic_bike,Jun,Friday,21,120+ mins,1,1079
member,classic_bike,Jun,Friday,5,120+ mins,1,321
member,classic_bike,Jun,Friday,15,120+ mins,1,184
member,classic_bike,Jun,Friday,13,120+ mins,1,143
member,classic_bike,Jun,Friday,22,120+ mins,1,912
member,classic_bike,Jun,Friday,8,120+ mins,1,184
member,classic_bike,Jun,Friday,9,120+ mins,1,269
member,classic_bike,Jul,Friday,11,120+ mins,1,149
member,classic_bike,Jul,Friday,23,120+ mins,1,753
member,classic_bike,Jul,Friday,22,120+ mins,1,728
member,classic_bike,Jul,Friday,9,120+ mins,1,215
member,classic_bike,Jul,Friday,7,120+ mins,1,318
member,classic_bike,Aug,Friday,6,120+ mins,1,454
member,classic_bike,Aug,Friday,13,120+ mins,1,179
member,classic_bike,Aug,Friday,20,120+ mins,1,228
member,classic_bike,Aug,Friday,2,120+ mins,1,210
member,classic_bike,Aug,Friday,7,120+ mins,1,192
member,classic_bike,Aug,Friday,9,120+ mins,1,199
member,classic_bike,Aug,Friday,0,120+ mins,1,842
member,classic_bike,Sep,Friday,22,120+ mins,1,133
member,classic_bike,Sep,Friday,14,120+ mins,1,176
member,classic_bike,Sep,Friday,7,120+ mins,1,137
member,classic_bike,Sep,Friday,11,120+ mins,1,452
member,classic_bike,Sep,Friday,6,120+ mins,1,145
member,classic_bike,Sep,Friday,20,120+ mins,1,911
member,classic_bike,Sep,Friday,0,120+ mins,1,1066
member,classic_bike,Sep,Friday,23,120+ mins,1,808
member,classic_bike,Oct,Thursday,0,120+ mins,1,129
member,classic_bike,Oct,Thursday,22,120+ mins,1,770
member,classic_bike,Oct,Thursday,10,120+ mins,1,194
member,classic_bike,Nov,Thursday,9,120+ mins,1,392
member,classic_bike,Nov,Thursday,18,120+ mins,1,1279
member,classic_bike,Nov,Thursday,12,120+ mins,1,1419
member,classic_bike,Nov,Thursday,6,120+ mins,1,316
member,classic_bike,Nov,Thursday,15,120+ mins,1,1265
member,classic_bike,Nov,Thursday,22,120+ mins,1,775
member,classic_bike,Nov,Thursday,17,120+ mins,1,1419
member,classic_bike,Nov,Thursday,5,120+ mins,1,420
member,classic_bike,Nov,Thursday,14,120+ mins,1,274
member,classic_bike,Dec,Thursday,9,120+ mins,1,531
member,classic_bike,Dec,Thursday,15,120+ mins,1,218
member,classic_bike,Dec,Thursday,10,120+ mins,1,174
member,classic_bike,Dec,Thursday,6,120+ mins,1,521
